0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
18.9154199307,18.9403383612,18.8571325246,18.9444486311,18.8745855212,18.8428979373,18.9219814291,18.9260887481,18.9304582164,18.8554723747,18.9405783633,18.8656896595,18.9505292231,18.9694091818,18.9687258748,18.89676639,18.9351962674,18.9374968258,18.9064584219,18.9369440501,18.878257522,18.950662322,18.9444139153,18.9228586048,18.9204086559,18.892765455,18.9176960086,18.9671437914,18.9036412999,18.9335573415
18.914986203,18.9399046327,18.8571318654,18.9440149024,18.8745848614,18.8428972786,18.9219807676,18.92565502,18.9304575547,18.8554717156,18.9401446347,18.865689,18.9500954942,18.9689754522,18.9682921452,18.8967657295,18.9347625391,18.9370630974,18.9060246946,18.9365103217,18.878256862,18.9502285931,18.9439801866,18.9224248769,18.919974928,18.8927647946,18.9176953473,18.9667100619,18.903640639,18.9331236132
18.9147275117,18.9396459405,18.8571312062,18.9437562101,18.8745842016,18.8428966199,18.9219801062,18.9253963284,18.930456893,18.8554710565,18.9398859425,18.8656883405,18.9498368017,18.9687167591,18.9680334521,18.8967650689,18.9345038471,18.9368044053,18.9057660036,18.9362516296,18.8782562021,18.9499699006,18.9437214943,18.9221661854,18.9197162365,18.8927641342,18.917694686,18.9664513688,18.9036399782,18.9328649212
18.9145875746,18.9395060025,18.857130547,18.943616272,18.8745835419,18.8428959612,18.9219794447,18.9252563909,18.9304019797,18.8554703973,18.9397460046,18.865687681,18.9496968634,18.9685768201,18.9678935131,18.8967644083,18.9343639093,18.9366644675,18.9056260668,18.9361116918,18.8782555422,18.9498299623,18.9435815562,18.922026248,18.9195762993,18.8927634737,18.9176940247,18.9663114299,18.9036393174,18.9327249835
18.9145292647,18.9394476917,18.8571298879,18.943557961,18.8745828821,18.8428953025,18.9219787833,18.9251980806,18.9303436692,18.8554697382,18.9396876937,18.8656870216,18.9496385522,18.9685185083,18.9678352013,18.8967637478,18.9343055987,18.9366061568,18.9055677572,18.9360533811,18.8782548823,18.9497716511,18.9435232452,18.9219679378,18.9195179892,18.8927628133,18.9176933634,18.9662531182,18.9036386566,18.9326666729
18.914573688,18.9394921142,18.8571292287,18.9436023834,18.8745822223,18.8428946438,18.9219781218,18.9252425036,18.930388092,18.8554690791,18.9397321162,18.8656863621,18.9496829744,18.9685629297,18.9678796228,18.8967630872,18.9343500214,18.9366505793,18.9056121809,18.9360978037,18.8782542223,18.9498160733,18.9435676676,18.9220123609,18.9195624124,18.8927621529,18.9176927021,18.9662975397,18.9036379958,18.9327110957
18.9147228747,18.9396413,18.8571285695,18.943751569,18.8745815625,18.8428939852,18.9219774604,18.9253916898,18.9305372781,18.85546842,18.939881302,18.8656857026,18.9498321597,18.9687121145,18.9680288076,18.8967624266,18.9344992073,18.9367997652,18.9057613678,18.9362469896,18.8782535624,18.9499652586,18.9437168532,18.9221615473,18.9197115988,18.8927614925,18.9176920408,18.9664467245,18.903637335,18.9328602816
18.9149787373,18.9397420039,18.8572830682,18.9438522727,18.8747360606,18.8430484844,18.9221319568,18.9256475521,18.9307931402,18.8556229188,18.9399820059,18.865840201,18.9499328633,18.9688128173,18.9681295105,18.896916924,18.9345999114,18.9369004692,18.9060172308,18.9365028515,18.8784080604,18.9500659622,18.9438175569,18.9224174097,18.9199674613,18.89291599,18.9178465375,18.9665474275,18.9037918321,18.9331161437
18.9153424462,18.9397413418,18.8576467791,18.9438516105,18.8750997709,18.8434121958,18.9224956655,18.9260112606,18.9311568486,18.8559866297,18.9399813438,18.8662039116,18.9499322009,18.9688121543,18.9681288474,18.8972806335,18.9345992495,18.9368998072,18.90638094,18.9368665596,18.8787717706,18.9500652998,18.9438168947,18.9227811183,18.92033117,18.8932796996,18.9182102462,18.9665467645,18.9041555414,18.9334798519
18.9158136132,18.9397406797,18.8581179482,18.9438509483,18.8755709393,18.8438833653,18.9229668322,18.9264824273,18.931628015,18.8564577988,18.9399806817,18.8666750804,18.9499315385,18.9688114912,18.9681281844,18.8977518011,18.9345985876,18.9368991453,18.9068521073,18.9373377259,18.8792429389,18.9500646373,18.9438162325,18.9232522851,18.9208023368,18.8937508674,18.9186814131,18.9665461015,18.9046267088,18.9339510183
