0,1,2,3,4,5,6,7,8,9,10,11,12,13
-923.530579521,900.07173604,-0.643632794221,0.18470456731,600.787170286,593.983925502,-37.6756937272,-250.004893068,287.680361067,-1.51102980793,-1.49374367712,0.240676886193,1.59318566684,-1.8338650952
-923.541620771,900.073350472,-0.641554859552,0.187014122546,600.845369614,594.091964563,-36.8023759263,-250.410085616,287.212240885,-1.51423134365,-1.49342738842,0.228000989173,1.60037820818,-1.82838168335
-923.551981689,900.07546382,-0.63606948259,0.186018060366,600.897154899,594.192188955,-35.9290288835,-250.810247449,286.739050482,-1.51739769569,-1.49318723641,0.215170580465,1.60761104618,-1.82278405647
-923.557779189,900.078064865,-0.632458881553,0.181792343161,600.625974471,594.295066468,-31.3278899472,-251.070130981,282.397801037,-1.51346944996,-1.4930217063,0.2029206806,1.61490999817,-1.81783281243
-923.559127989,900.081142262,-0.630791445963,0.174413154111,600.444689576,594.452743353,-30.4544438047,-251.461680736,281.915897175,-1.51201772158,-1.49295013434,0.190296230055,1.62223884593,-1.81253715345
-923.556515598,900.084684541,-0.631071951681,0.163956887011,600.550393602,594.610792237,-25.9471053233,-251.846747187,277.79363276,-1.51713796442,-1.49299107065,0.178233777475,1.62960335446,-1.80783891925
-923.550046829,900.088680117,-0.63336097974,0.150500142741,600.559944816,594.634579423,-25.0773500514,-252.228675696,277.305799458,-1.52007844979,-1.49310003164,0.165803259335,1.63700560197,-1.80281059266
-923.545979006,900.093117277,-0.638360172417,0.134119718266,600.210671663,594.595504312,-20.5141245488,-256.297804179,276.811709172,-1.5165139923,-1.49321146321,0.153947271381,1.64367646131,-1.79762517028
-923.544227505,900.097984183,-0.646086550374,0.114892602242,599.886988239,594.59224815,-19.6504884334,-256.641138899,276.291406379,-1.51536249435,-1.49331651069,0.141680675761,1.65064921606,-1.79233127383
-923.543236149,900.104273739,-0.655763015954,0.0924958302158,600.027409665,594.515885088,-15.5210030314,-259.508056493,275.028840223,-1.52276968957,-1.49551983613,0.12993775828,1.65712845226,-1.78706732671
