0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20.3328770066,20.4303927148,20.4315079434,20.477475067,20.2749807559,20.3008655616,20.3791420522,20.5327676038,20.2808634241,20.4849335425,20.4849335425,20.4387292075,20.3127583258,20.2987479843,20.4690618962,20.4885433322,20.3330682727,20.3110058682,20.4794238425,20.2672913001,20.5011050141,20.2960874574,20.4491297089,20.4735309839,20.2942747131,20.4965838245,20.2972039049,20.4845957809,20.3022613215,20.3314600484
20.3328762956,20.4303920004,20.431507229,20.477474351,20.2595082137,20.2853930185,20.3791413396,20.5327668858,20.2653908817,20.4849328262,20.4849328262,20.4387284928,20.2972857823,20.2832754413,20.4690611805,20.4885426158,20.3330675617,20.2955333247,20.4794231264,20.2518187581,20.5011042973,20.2806149144,20.4491289939,20.473530268,20.2788021701,20.4965831078,20.2817313619,20.4845950647,20.2867887783,20.3314593375
20.3328755846,20.4303912861,20.4315065145,20.4774736349,20.2439190076,20.2698038115,20.379140627,20.5327661678,20.2498016754,20.4849321099,20.4849321099,20.4387277781,20.2816965749,20.2676862344,20.4690604647,20.4885418993,20.3330668507,20.2799441174,20.4794224103,20.2362295523,20.5011035804,20.2650257076,20.4491282788,20.473529552,20.2632129634,20.4965823911,20.2661421551,20.4845943484,20.2711995713,20.3314586265
20.3328748735,20.4303905717,20.4315058,20.4774729188,20.2282168472,20.2541016502,20.3791399144,20.5327654498,20.2340995148,20.4849313937,20.4849313937,20.4387270634,20.2659944131,20.2519840731,20.469059749,20.4885411829,20.3330661396,20.2642419557,20.4794216942,20.2205273922,20.5011028635,20.2493235464,20.4491275637,20.4735288361,20.2475108023,20.4965816743,20.2504399939,20.4845936321,20.2554974099,20.3314579155
20.3328741626,20.4303898573,20.4315050857,20.4774722028,20.2124035273,20.2382883294,20.3791392018,20.5327647318,20.2182861947,20.4849306774,20.4849306774,20.4387263488,20.250181092,20.2361707524,20.4690590333,20.4885404664,20.3330654287,20.2484286346,20.4794209782,20.2047140726,20.5011021467,20.2335102258,20.4491268486,20.4735281202,20.2316974818,20.4965809577,20.2346266732,20.4845929158,20.2396840891,20.3314572046
20.3328734516,20.4303891429,20.4315043713,20.4774714868,20.1964793514,20.2223641526,20.3791384892,20.5327640139,20.2023620186,20.4849299612,20.4849299612,20.4387256342,20.2342569147,20.2202465757,20.4690583175,20.4885397501,20.3330647178,20.2325044574,20.479420262,20.1887898969,20.5011014298,20.2175860492,20.4491261336,20.4735274043,20.2157733052,20.4965802409,20.2187024965,20.4845921996,20.2237599122,20.3314564936
20.3328727406,20.4303884286,20.4315036569,20.4774707707,20.1804454041,20.2063302044,20.3791377766,20.5327632959,20.1863280711,20.4849292448,20.4849292448,20.4387249195,20.2182229661,20.2042126276,20.4690576017,20.4885390336,20.3330640067,20.2164705089,20.4794195459,20.1727559499,20.5011007129,20.2015521011,20.4491254185,20.4735266884,20.1997393572,20.4965795242,20.2026685485,20.4845914832,20.207725964,20.3314557827
20.3328720295,20.4303877141,20.4315029424,20.4774700546,20.1643625831,20.1902473825,20.3791370639,20.5327625779,20.1702452499,20.4849285285,20.4849285285,20.4387242048,20.2021401437,20.1881298057,20.469056886,20.4885383172,20.3330632956,20.2003876866,20.4794188298,20.1647108785,20.5010999961,20.1854692794,20.4491247034,20.4735259725,20.1836565355,20.4965788075,20.1865857266,20.4845907669,20.191643142,20.3314550717
20.3328713185,20.4303869997,20.4315022281,20.4774693386,20.1482710431,20.1741558416,20.3791363514,20.53276186,20.1541537097,20.4849278122,20.4849278122,20.4387234901,20.1860486024,20.1720382649,20.4690561703,20.4885376008,20.3330625847,20.1842961453,20.4794181138,20.1647101734,20.5010992792,20.1693777386,20.4491239885,20.4735252566,20.1675649948,20.4965780908,20.1704941859,20.4845900506,20.175551601,20.3314543608
20.3328706075,20.4303862853,20.4315015137,20.469338745,20.1402172531,20.1661020506,20.3791356387,20.5246312644,20.1460999194,20.4767972183,20.4767972183,20.4387227754,20.1779948111,20.163984474,20.4609255769,20.4804070067,20.3330618737,20.176242354,20.47128752,20.1647094683,20.4929686847,20.1613239479,20.4409933958,20.4653946631,20.1595112041,20.4884474965,20.1624403951,20.4764594567,20.1674978101,20.3314536498
